Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,11.533333,12.095238,11.504761,12.047619,9.976935,26420835
2019-01-03,12.047619,12.152380,11.914285,12.152380,10.063692,39787545
2019-01-04,12.057142,12.219047,11.961904,12.114285,10.032145,34350960
2019-01-07,12.095238,12.209523,12.019047,12.104761,10.024262,14108115
2019-01-08,12.104761,12.266666,11.952380,12.266666,10.158338,18163425
2019-01-09,12.314285,12.447619,12.228571,12.428571,10.292415,32961390
2019-01-10,12.380952,12.571428,12.323809,12.342857,10.221431,48952260
2019-01-11,12.333333,12.342857,12.114285,12.190476,10.095243,31549980
2019-01-14,12.200000,12.371428,12.161904,12.371428,10.245092,19163445
2019-01-15,12.314285,12.314285,12.104761,12.295238,10.181996,34881840
2019-01-16,12.295238,12.314285,12.190476,12.304761,10.189882,27561135
2019-01-17,12.285714,12.342857,12.152380,12.323809,10.205655,28813365
2019-01-18,12.323809,12.457142,12.304761,12.314285,10.197771,23777880
2019-01-21,12.352380,12.352380,12.152380,12.266666,10.158338,14515410
2019-01-22,12.247619,12.333333,12.095238,12.209523,10.111013,25520880
2019-01-23,12.238095,12.485714,12.180952,12.371428,10.245092,68272365
2019-01-24,12.380952,12.714285,12.380952,12.571428,10.410716,40666815
2019-01-28,12.523809,12.914285,12.457142,12.847619,10.639437,28086975
2019-01-29,12.895238,12.904761,12.638095,12.638095,10.465925,20580000
2019-01-30,12.704761,12.780952,12.428571,12.780952,10.584229,25697175
2019-01-31,12.780952,13.057142,12.771428,12.857142,10.647323,27699735
2019-02-01,12.857142,12.904761,12.695238,12.895238,10.678874,18090240
2019-02-04,12.857142,13.142857,12.714285,13.142857,10.883932,17634330
2019-02-05,12.847619,12.904761,12.609523,12.733333,10.544793,29171100
2019-02-06,12.666666,12.685714,12.190476,12.190476,10.095243,29044260
2019-02-07,12.238095,12.409523,12.057142,12.209523,10.111013,19071780
2019-02-08,12.180952,12.600000,12.123809,12.600000,10.434380,42036225
2019-02-11,12.561904,12.590476,12.314285,12.514285,10.363396,16375275
2019-02-12,12.619047,12.761904,12.542857,12.723809,10.536908,18583740
2019-02-13,12.704761,12.752380,12.380952,12.447619,10.308189,27548115
2019-02-14,12.466666,12.761904,12.266666,12.761904,10.568454,28515795
2019-02-15,12.657142,12.704761,12.438095,12.600000,10.434380,33594750
2019-02-18,12.580952,12.590476,12.333333,12.342857,10.221431,16694580
2019-02-19,12.561904,12.780952,12.504761,12.600000,10.434380,122745735
2019-02-20,12.800000,12.866666,12.561904,12.571428,10.410716,117399030
2019-02-21,12.666666,12.914285,12.647619,12.914285,10.694649,103992210
2019-02-22,12.285714,12.342857,12.142857,12.285714,10.525907,30505545
2019-02-25,12.285714,12.342857,12.104761,12.200000,10.452469,18560955
2019-02-26,12.228571,12.285714,12.190476,12.209523,10.460627,19496295
2019-02-27,12.238095,12.266666,12.000000,12.038095,10.313757,17660370
2019-02-28,12.076190,12.104761,11.742857,11.780952,10.093446,26291370
2019-03-01,11.809523,11.895238,11.666666,11.676190,10.019892,29852655
